1869,1139
1725,1141
1657,1141
1571,1142
1471,1145
1390,1145
1323,1148
1251,1149
1187,1150
1133,1151
1059,1152
986,1153
935,1153
930,1152
928,1149
928,1135
926,1124
924,1119
921,1115
917,1112
912,1110
907,1109
899,1110
889,1113
871,1120
853,1127
834,1134
806,1143
784,1149
751,1156
718,1160
666,1161
616,1160
560,1158
521,1153
499,1147
485,1141
471,1135
455,1126
439,1116
418,1102
396,1085
375,1065
360,1048
342,1022
325,991
315,969
304,939
296,912
289,886
281,853
273,816
267,786
262,758
255,719
248,678
241,638
237,616
234,599
230,576
225,547
221,520
217,495
214,486
209,477
202,471
190,466
181,464
173,462
169,459
166,454
162,443
158,432
153,419
148,407
142,393
131,367
123,350
113,328
99,300
83,268
67,236
55,209
49,194
45,181
42,168
41,150
43,135
47,125
54,116
62,108
72,100
86,92
107,87
133,82
158,77
184,72
224,64
271,55
310,48
327,45
338,44
344,45
350,49
358,57
370,72
378,83
392,103
403,119
415,136
426,152
437,168
447,182
455,194
467,211
486,238
498,255
516,280
540,312
559,337
580,363
600,386
618,405
639,427
674,461
702,488
733,516
761,541
796,573
841,614
882,652
920,687
954,719
981,743
1014,773
1039,795
1073,825
1086,834
1092,837
1104,838
1116,838
1126,836
1136,834
1151,831
1165,829
1178,829
1191,830
1206,835
1217,840
1229,848
1241,860
1249,868
1256,873
1264,878
1273,881
1284,883
1292,884
1302,885
1313,886
1342,887
1382,887
1432,887
1483,887
1544,887
1615,886
1676,886
1776,886
1885,886
1964,886
2026,887
2089,887
2159,887
2209,888
2265,888
2283,890
2297,894
2308,899
2315,904
2322,911
2328,919
2332,927
2336,939
2339,955
2339,964
2339,974
2338,985
2336,996
2331,1009
2324,1021
2314,1033
2302,1046
2291,1056
2268,1074
2244,1089
2228,1096
2208,1103
2177,1111
2143,1117
2109,1121
2089,1123
2071,1125
2054,1127
2009,1132
1963,1135
1918,1137
1900,1138
